start_station_name,member_casual,number_of_rides
Albany Ave & 111th St - NW,member,3
Albany Ave & 63rd St,member,3
Ashland Ave & 46th St,casual,3
Ashland Ave & 71st St,member,3
Austin Ave & Roscoe St,casual,3
Avenue J & 112th St,casual,3
Avenue L & 114th St,member,3
Avondale Ave & Addison St,casual,3
Baltimore Ave & 132nd St,casual,3
Bishop St & 46th St,member,3
Brighton Park Branch Chicago Library,casual,3
California Ave & 29th St,member,3
California Ave & Devon Ave - NW,casual,3
California Ave & Pershing Rd,casual,3
Cicero Ave & Altgeld St,member,3
Cicero Ave & Cortland St - midblock,casual,3
Cicero Ave & Roscoe St,casual,3
Cottage Grove & 85th St,casual,3
Cottage Grove & 85th St,member,3
Cottage Grove Ave & 75th St,casual,3
Cottage Grove Ave & 87th St,casual,3
Cottage Grove Ave & 89th Pl,casual,3
Ewing Ave & 105th St,casual,3
Forrestville Ave & 47th St,casual,3
Green St & 103rd St,casual,3
Halsted St & 41st St,casual,3
Halsted St & 95th St - SW,casual,3
Hamlin Ave & Montrose Ave,casual,3
Harper Ave & 63rd St,casual,3
Houston Ave & 91st St,member,3
Ingleside Ave & 79th St,casual,3
Kedzie Ave & 64th St - SE,member,3
Kedzie Ave & 64th St - SW,member,3
Kedzie Ave & Argyle St,member,3
Keeler Ave & 55th St,casual,3
Keeler Ave & Madison St,casual,3
Kenneth Ave & 63rd St,casual,3
Kildare Ave & Division St,member,3
Kimball Ave & Carmen Ave,member,3
Lafayette Ave & 119th St,casual,3
Lafayette Ave & 87th St - NW,member,3
Laramie Ave & Fullerton Ave,member,3
Laramie Ave & Warwick Ave,casual,3
Lincoln Ave & Belmont Ave,casual,3
Linder Ave & Belmont Ave,member,3
Longwood Dr & 111th St,member,3
Longwood Dr & 95th St,casual,3
Loomis St & 87th St,casual,3
Marshfield Ave & 45th St,casual,3
Marshfield Ave & 45th St,member,3
Maryland Ave & 87th ST,casual,3
McVicker Ave & Grand Ave,casual,3
Menard Ave & Agusta Blvd,member,3
Mt Greenwood Library - North,casual,3
N Sayre Ave & W Belden Ave,member,3
Narragansett Ave & Fullerton Ave,casual,3
Ozark Ave & Addison St,casual,3
Ozark Ave & Addison St,member,3
Perry Ave & 108th Pl,casual,3
Perry Ave & 108th Pl,member,3
Public  Rack - Albany Ave & 63rd St,member,3
Public Rack - 10557 S Western Ave,casual,3
Public Rack - 532 E 43rd St,member,3
Public Rack - 63rd & Western Ave N,casual,3
Public Rack - Abbott Park,casual,3
Public Rack - Aida Food Market,casual,3
Public Rack - Austin Blvd & North Ave,member,3
Public Rack - Austin Branch Chicago Public Library,member,3
Public Rack - Bishop St & 46th St,member,3
Public Rack - Brooks Park,casual,3
Public Rack - California & 87th,casual,3
Public Rack - Canfield & Victoria,casual,3
Public Rack - Central Park & Bryn Mawr,member,3
Public Rack - Central Park Ave & Fillmore St,casual,3
Public Rack - Central Park Ave & Fulton Blvd,casual,3
Public Rack - Christiana & Lincoln,member,3
Public Rack - Christiana Ave & 55th St,casual,3
Public Rack - Cicero & Rosemont,casual,3
Public Rack - Claremont Ave & 71st St,casual,3
Public Rack - Cottage Grove & 86th St,casual,3
Public Rack - Cottage Grove & 86th St,member,3
Public Rack - Cottage Grove Ave & 87th St,casual,3
Public Rack - Cottage Grove Ave & 98th St,member,3
Public Rack - Damen Ave & 47th St,member,3
Public Rack - East End Ave & 87th St,member,3
Public Rack - Emerald Ave & 43rd St,casual,3
Public Rack - Emerald Ave & 45th St,member,3
Public Rack - Ewing Ave & 105th St,casual,3
Public Rack - Ewing Ave & 95th St,casual,3
Public Rack - Forrestville Ave & 47th St,casual,3
Public Rack - Garfield Park Conservatory,casual,3
Public Rack - Garfield Park Conservatory,member,3
Public Rack - Grand Ave & Lawndale Ave,casual,3
Public Rack - Halsted St & 102nd St,member,3
Public Rack - Halsted St & 111th St,casual,3
Public Rack - Halsted St & 113th St,member,3
Public Rack - Harlem & Palatine,member,3
Public Rack - Harper Ave & 63rd St,casual,3
Public Rack - Harvard Ave & 103rd St,casual,3
Public Rack - Hiawatha Park,casual,3
Public Rack - Homan & 79th,casual,3
Public Rack - Hoyne Ave & 51st St,casual,3
Public Rack - Jeffery Blvd & 81st St,casual,3
Public Rack - Justine St & 87th St,casual,3
Public Rack - Justine St & 87th St,member,3
Public Rack - Karlov Ave & 26th St,member,3
Public Rack - Kedvale Ave & Peterson Ave,casual,3
Public Rack - Kedzie & 103rd St - W,casual,3
Public Rack - Kedzie Ave & 60th St,casual,3
Public Rack - Kenneth Ave & 63rd St E,member,3
Public Rack - Kenneth Ave & 63rd St W,casual,3
Public Rack - Kilpatrick & Elston,casual,3
Public Rack - Kimball Ave & Lawrence Ave,casual,3
Public Rack - Kimbark Ave & 63rd St,member,3
Public Rack - Lafayette Ave & 87th St - NW,member,3
Public Rack - Lake Park Ave & 47th St,member,3
Public Rack - Lamon Ave & Erie St,casual,3
Public Rack - Langley Ave & 49th St,member,3
Public Rack - Latrobe Ave & Lake St,member,3
Public Rack - Lawndale Ave & 23rd St,member,3
Public Rack - Lawrence Ave & Kimball Ave,member,3
Public Rack - Leland Ave & Melvina Ave,casual,3
Public Rack - Leoti Ave & Central Ave (south),casual,3
Public Rack - Linder Ave & 64th Pl,casual,3
Public Rack - Lockwood & Archer,member,3
Public Rack - Maplewood Ave & 47th St,member,3
Public Rack - Maplewood Ave & 63rd St,casual,3
Public Rack - Marquette Rd & 67th St,member,3
Public Rack - McVicker Ave & Grand Ave,member,3
Public Rack - Michigan Ave & 107th St,casual,3
Public Rack - Michigan Ave & 119th St,casual,3
Public Rack - Milwaukee Ave & Kennedy Expy,member,3
Public Rack - N. Oakview and W. Gregory St,casual,3
Public Rack - Natoma Ave & 61st St,casual,3
Public Rack - Neva Ave & Grand Ave,member,3
Public Rack - Norwood Park,casual,3
Public Rack - Oketo & Northwest Hwy,casual,3
Public Rack - Olmstead Ave & Oliphant Ave,casual,3
Public Rack - Ozman & Talcott,casual,3
Public Rack - Parkside & 63rd,casual,3
Public Rack - Peterson Ave & Bernard Ave,member,3
Public Rack - Peterson Ave & Milwaukee Ave,casual,3
Public Rack - Piotrowski Park,casual,3
Public Rack - Pittsburgh Ave & Irving Park,casual,3
Public Rack - Pulaski Rd & Lake St,member,3
Public Rack - Pullman - Planet Fitness,casual,3
Public Rack - Racine Ave & 76th,member,3
Public Rack - Roscoe St & Osceola Ave,member,3
Public Rack - S. Kilpatrick and W. 79th,member,3
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,casual,3
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,member,3
Public Rack - Spencer Elementary Technology Academy,casual,3
Public Rack - Springfield & 71st,casual,3
Public Rack - St Louis Ave & Flournoy St,casual,3
Public Rack - Stony Island & 87th St,member,3
Public Rack - Talman Ave & 51st St,casual,3
Public Rack - Touhy Ave & Oconto Ave,casual,3
Public Rack - Vincennes Ave & 77th St,casual,3
Public Rack - Vincennes Ave & 77th St,member,3
Public Rack - Vincennes Ave & 95th St,member,3
Public Rack - Wabash Ave & 87th St,member,3
Public Rack - Wallace St & 119th St,casual,3
Public Rack - Western Ave & 104th St - West,member,3
Public Rack - Western Ave & 107th Pl,casual,3
Public Rack - Western Ave & 107th St,casual,3
Public Rack - Whipple St & 26th St,member,3
Public Rack - Winona St & Elston Ave,casual,3
Pullman - Planet Fitness,member,3
Racine Ave & 76th,member,3
Rutherford Ave & Belmont Ave,member,3
S Michigan Ave & E 118th St,member,3
Sangamon St & 79th St,casual,3
Sawyer Ave & Lawrence Ave,member,3
South Chicago Ave & Elliot Ave,member,3
Spaulding Ave & Foster Ave,casual,3
Springfield Ave & 63rd St,member,3
State St & 47th st,casual,3
Torrence Ave & 126th Pl,member,3
WEST CHI-WATSON,casual,3
West Lawn Park,casual,3
Western Ave & 104th St - East,member,3
Western Ave & 106th St - West,casual,3
Western Ave & 116th St,member,3
Yates Blvd & Exchange Ave,member,3
63rd & Western Ave - south corner,casual,4
63rd & Western Ave - south corner,member,4
Avenue J & 106th St,casual,4
Avers Ave & Irving Park Rd,casual,4
Avers Ave & Irving Park Rd,member,4
Baltimore Ave & 133rd St,casual,4
Brighton Park Branch Chicago Library,member,4
Buffalo Ave & 89th St,casual,4
California Ave & Pershing Rd,member,4
California Ave & Touhy Ave - NW,casual,4
Calumet Ave & Garfield Blvd,member,4
Central Ave & Congress Pkwy,casual,4
Chappel Ave & 71st St,member,4
Claremont Ave & 71st St,member,4
Commercial Ave & 89th St,casual,4
Cornell Dr & Hayes Dr,member,4
Cottage Grove Ave & 75th St,member,4
Cottage Grove Ave & 98th St,casual,4
Eli Whitney Public School,casual,4
Emerald Ave & 45th St,member,4
Evans Ave & 63rd St,member,4
Ewing Ave & 112th St,casual,4
Forrestville Ave & 47th St,member,4
Halsted St & 76th St,member,4
Halsted St & 95th St - SE,casual,4
Hamlin Ave & Chicago Ave,casual,4
Harding Ave & 47th St,casual,4
Harper Ave & 63rd St,member,4
Hiawatha Park,member,4
Houston Ave & 91st St,casual,4
Ingleside Ave & 79th St,member,4
Jonathan Y Scammon Public School,member,4
Karlov Ave & Kamerling Ave,member,4
Kedvale Ave & Avondale Ave,member,4
Kedzie Ave & 24th St (Temp),member,4
Kedzie Ave & Argyle St,casual,4
Kedzie Ave & Pershing Rd,member,4
Keeler Ave & Madison St,member,4
Keeler Ave & Roosevelt Rd,member,4
Laflin St & 51st St,member,4
Laramie Ave & Grand Ave,casual,4
Lincoln Ave & Belmont Ave,member,4
Marquette Ave & 79th St,member,4
Martin Luther King Dr & 44th St,casual,4
Martin Luther King Dr & 44th St,member,4
Menard Ave & Dakin St - midblock,member,4
Muskegon Ave & 89th St,member,4
Newcastle Ave & Belmont Ave,casual,4
Newland Ave & Diversey Ave,casual,4
Oleander Ave & Addison St,casual,4
Pittsburgh Ave & Irving Park,casual,4
Public Rack - 10557 S Western Ave,member,4
Public Rack - 63rd & Western Ave S,member,4
Public Rack - 63rd St and Nagle Ave,casual,4
Public Rack - Al Raby School,casual,4
Public Rack - Ashland Ave & 45th St,casual,4
Public Rack - Ashland Ave & 45th St,member,4
Public Rack - Austin Ave & Wellington Ave - midblock,casual,4
Public Rack - Brainerd Park,casual,4
Public Rack - California Ave & Touhy Ave - SW,casual,4
Public Rack - Central & Leland,casual,4
Public Rack - Central & Prescott,casual,4
Public Rack - Chase Ave & Touhy Ave - NW,member,4
Public Rack - Cicero Ave & Le Moyne St - midblock,casual,4
Public Rack - Columbus & 79th,casual,4
Public Rack - Commercial Ave & 89th St,member,4
Public Rack - Cornell Ave & 87th Pl,member,4
Public Rack - Cottage Grove & 85th St,member,4
Public Rack - Damen Ave & 80th St,casual,4
Public Rack - East End Ave & 87th St,casual,4
Public Rack - Eli Whitney Public School,member,4
Public Rack - Forest Glen & Peterson,member,4
Public Rack - Halsted St & 76th St,member,4
Public Rack - Harriet E Sayre Public School,casual,4
Public Rack - Hiawatha Ave & Minnehaha Ave,casual,4
Public Rack - Homan Ave & 26th St,member,4
Public Rack - Houston Ave & 131st St,casual,4
Public Rack - Karlov Ave & Lawrence Ave,casual,4
Public Rack - Kedvale Ave & Addison St,member,4
Public Rack - Kedzie Ave & 54th Pl,member,4
Public Rack - Kedzie Ave & 54th St - SW,member,4
Public Rack - Kedzie Ave & 61st Pl,casual,4
Public Rack - Kedzie Ave & 61st Pl W,member,4
Public Rack - Kedzie Ave & 64th St - SE,casual,4
Public Rack - Keeler Ave & 55th St,casual,4
Public Rack - Kenton & Lawrence,member,4
Public Rack - Kimball Ave & Lawrence Ave,member,4
Public Rack - Kimbark Ave & 63rd St,casual,4
Public Rack - King Dr & 71st St,casual,4
Public Rack - King Dr & 71st St,member,4
Public Rack - Kostner & Peterson,member,4
Public Rack - Kostner Ave & Wrightwood Ave,member,4
Public Rack - Langley Ave & 49th St,casual,4
Public Rack - Langley Ave & Oakwood Blvd,casual,4
Public Rack - Lavergne & Lawrence,member,4
Public Rack - Linder Ave & Belmont Ave,member,4
Public Rack - Lorel Ave & Chicago Ave,member,4
Public Rack - Mason & Archer,casual,4
Public Rack - Meade Ave & Archer Ave,casual,4
Public Rack - Melvina & Foster,casual,4
Public Rack - Melvina Ave & Montrose Ave,casual,4
Public Rack - Milwaukee Ave & Waveland Ave,casual,4
Public Rack - Morgan St & 95th St,member,4
Public Rack - Mt Greenwood Library N,member,4
Public Rack - Natoma Ave & Bryn Mawr Ave,casual,4
Public Rack - New England Ave & Grace St,casual,4
Public Rack - Percy Julian HS,casual,4
Public Rack - Peterson Ave & Bernard Ave,casual,4
Public Rack - Prairie Ave & Garfield Blvd S,casual,4
Public Rack - Prairie Ave & Garfield Blvd S,member,4
Public Rack - Pulaski Rd & 51st Rd,member,4
Public Rack - Pulaski Rd & Grenshaw St,casual,4
Public Rack - Pulaski Rd & Roosevelt Rd,member,4
Public Rack - Racine Ave & 74th St,casual,4
Public Rack - Racine Ave & 74th St,member,4
Public Rack - Racine Ave & 76th,casual,4
Public Rack - Robert Fulton Elementary School,casual,4
Public Rack - Roswell B. Mason Elementary School,member,4
Public Rack - Sacramento Blvd & Division St,casual,4
Public Rack - Sawyer Ave & Chicago Ave,casual,4
Public Rack - Springfield Ave & Lawrence Ave,member,4
Public Rack - Talman Ave & Pershing Rd,member,4
Public Rack - Throop St & 109th Pl,casual,4
Public Rack - Western & 83rd,member,4
Public Rack - Western Ave & 106th St - East,member,4
Public Rack - Western Ave & 111th St - NW,casual,4
Public Rack - Whipple St & 26th St,casual,4
Public Rack - Whipple St & 63rd St,casual,4
Pulaski Rd & Fullerton Ave,member,4
Rockwell Ave & Touhy Ave,member,4
Sacramento Ave & Devon Ave,member,4
Sacramento Blvd & Washington Blvd,casual,4
Sawyer Ave & 111th St,casual,4
Stony Is Ave & 73rd St,member,4
Throop St & 58th St,casual,4
Torrence Ave  & 106th St,casual,4
Walden Pkwy & 99th St,member,4
WestChi,casual,4
Western Ave & 105th St,member,4
Western Ave & 111th St - SW,casual,4
Western Ave & 92nd Pl,member,4
410,member,5
Ashland Ave & 45th St - midblock south,casual,5
Austin Branch Chicago Public Library,casual,5
Bishop St & 46th St,casual,5
Christiana Ave & Belmont Ave,member,5
Damen Ave & 47th St,member,5
Ellis Ave & 132nd Pl,casual,5
Ewing Ave & 96th St,casual,5
Harriet E Sayre Public School,casual,5
Hoyne Ave & 110th Pl,member,5
Kedvale Ave & Avondale Ave,casual,5
Kedzie Ave & 24th St (Temp),casual,5
Keystone Ave & Irving Park Rd,member,5
Kilbourn Ave & Fullerton Ave,casual,5
Kolin Ave & Archer Ave,member,5
Kostner Ave & North Ave,casual,5
Leamington Ave & Hirsch St,member,5
Mackinaw Ave & 106th St,casual,5
Menard Ave & Madison St,casual,5
N Narragansett Ave & Grand Ave,member,5
Public Rack - 82nd st & Kedzie Ave,casual,5
Public Rack - Albany Ave & 63rd St,member,5
Public Rack - Ashland Ave & 63rd St,member,5
Public Rack - Ashland Ave & 71st St,casual,5
Public Rack - Ashland Ave & 91st St,casual,5
Public Rack - Ashland Ave & 91st St,member,5
Public Rack - Austin & Higgins,casual,5
Public Rack - Austin Ave & Archer Ave,casual,5
Public Rack - Austin Ave & Wellington Ave,member,5
Public Rack - Austin Branch Chicago Public Library,casual,5
Public Rack - Central & Berteau,member,5
Public Rack - Central Ave & Pensacola Ave,casual,5
Public Rack - Central Park Ave & Fillmore St,member,5
Public Rack - Central Park Ave & Ogden Ave,member,5
Public Rack - Cornell Ave & 87th Pl,casual,5
Public Rack - Damen & 81st,member,5
Public Rack - Division St & Christiana Ave,member,5
Public Rack - Ford City Mall,casual,5
Public Rack - Halsted St & 64th St,casual,5
Public Rack - Hamilton Ave & 95th St,member,5
Public Rack - Hamlin Ave & Chicago Ave,member,5
Public Rack - Hamlin Ave & Madison St,casual,5
Public Rack - Hamlin Ave & Madison St,member,5
Public Rack - Harlem & Summerdale,member,5
Public Rack - Irving Park Rd & Leclaire Ave,member,5
Public Rack - Jeffrey Blvd & 71st St,casual,5
Public Rack - Karlov Ave & 26th St,casual,5
Public Rack - Karlov Ave & Lawrence Ave,member,5
Public Rack - Kedvale Ave & Peterson Ave,member,5
Public Rack - Kedzie Ave & 83rd St,casual,5
Public Rack - Kedzie Ave & Walnut St,member,5
Public Rack - Kildare Ave & 63rd St,casual,5
Public Rack - Komensky Ave & 26th St,member,5
Public Rack - Lavergne & Lawrence,casual,5
Public Rack - Lawndale Ave & Polk St,member,5
Public Rack - Leclaire Ave & Division St,member,5
Public Rack - Linder & 51st,casual,5
Public Rack - Loomis Blvd & 47th St,member,5
Public Rack - Lotus Ave & Lawrence Ave,casual,5
Public Rack - Menard Ave & Agusta Blvd,casual,5
Public Rack - Michigan Ave & 113th St,member,5
Public Rack - Michigan Ave & 96th St,member,5
Public Rack - Milwaukee Ave & Lawrence Ave,member,5
Public Rack - Milwaukee Ave & Pensacola Ave,casual,5
Public Rack - Mont Clare Ave & Higgins Ave,casual,5
Public Rack - Mulligan Ave & 56th St,casual,5
Public Rack - Newcastle Ave & Belden Ave,casual,5
Public Rack - Odell & Talcott,casual,5
Public Rack - Perry Ave & 108th Pl,casual,5
Public Rack - Prairie Ave & Garfield Blvd N,casual,5
Public Rack - Pulaski Rd & 15th St,casual,5
Public Rack - Pulaski Rd & 83rd St,casual,5
Public Rack - Pullman - Walmart,casual,5
Public Rack - Pullman Community Center,member,5
Public Rack - Racine Ave & 109th Pl,casual,5
Public Rack - Sacramento Blvd & Division St,member,5
Public Rack - Saginaw Ave & 93rd St,member,5
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,member,5
Public Rack - Stewart Ave & 123rd St,casual,5
Public Rack - Walden Pkwy & 99th St,casual,5
Public Rack - Wentworth Ave & 79th St,member,5
Public Rack - Western Ave & 111th St - SW,member,5
Public Rack - Western Ave & 79th St,casual,5
Public Rack - Whipple St & 63rd St,member,5
Public Rack - Zapata Academy,casual,5
Pulaski Rd & 40th St,casual,5
Rutherford Ave & Belmont Ave,casual,5
Sacramento Ave & Devon Ave,casual,5
Sawyer Ave & Lawrence Ave,casual,5
Spaulding Ave & Evergreen Ave,casual,5
Stony Island Ave & 86th St,casual,5
Wentworth Ave & 103rd St,casual,5
111th St - Morgan Park Metra,casual,6
Ada St & 79th St,casual,6
Altgeld Gardens,member,6
Ashland Ave & 76th St,casual,6
California Ave & Devon Ave - NE,casual,6
California Ave & Devon Ave - NE,member,6
Central Ave & George St,member,6
Cicero Ave & North Ave,casual,6
Cottage Grove & 86th St,member,6
Damen Ave & 47th St,casual,6
Eberhart Ave & 131st St,member,6
Ewing Ave & 106th St,casual,6
Halsted St & 80th St,casual,6
Halsted St & 94th St,casual,6
Hamlin Ave & Fullerton Ave,member,6
Harding Ave & 47th St,member,6
Harriet E Sayre Public School,member,6
Harvard Ave & 103rd St,casual,6
Karlov Ave & Kamerling Ave,casual,6
Kedvale Ave & 63rd St,casual,6
Kildare Ave & 63rd St,casual,6
Langley Ave & 79th St,casual,6
Laramie Ave & Belmont Ave,member,6
Longwood Dr & 111th St,casual,6
Mackinaw Ave & 108th St,casual,6
Marshfield Ave & 87th St,casual,6
Menard Ave & Agusta Blvd,casual,6
Menard Ave & Dakin St - midblock,casual,6
Milwaukee Ave & School St,casual,6
Morgan St & 87th St,casual,6
Mt Greenwood Library - South,casual,6
Public Rack - Baltimore Ave & 133rd St,member,6
Public Rack - Bell Ave & 95th St,casual,6
Public Rack - Brighton Park Branch Chicago Library,casual,6
Public Rack - California Ave & Touhy Ave - SW,member,6
Public Rack - Central Ave & Lawrence Ave,casual,6
Public Rack - Central Park Ave & 16th St,casual,6
Public Rack - Delphina & Foster,casual,6
Public Rack - Division St & Christiana Ave,casual,6
Public Rack - Eggleston Ave & 115th St,casual,6
Public Rack - Ewing Ave & 106th St,casual,6
Public Rack - Exchange Ave & 73rd Pl,casual,6
Public Rack - Greenwood Ave & Lake Park Ave,casual,6
Public Rack - Halsted St & 64th St,member,6
Public Rack - Halsted St & 76th St,casual,6
Public Rack - Halsted St & 95th St - SW,member,6
Public Rack - Harding Ave & 47th St,casual,6
Public Rack - Hermitage & 83rd St,casual,6
Public Rack - Holbrook St & Milwaukee Ave,casual,6
Public Rack - Homan Ave & Roosevelt,casual,6
Public Rack - Jeffrey Blvd & 71st St,member,6
Public Rack - Kedzie Ave & 61st Pl E,member,6
Public Rack - Kilpatrick & Elston,member,6
Public Rack - Kolin Ave & Archer Ave,casual,6
Public Rack - Komensky Ave & 63rd St,member,6
Public Rack - Laporte Ave & Armitage Ave,casual,6
Public Rack - Lawndale & 63rd St,casual,6
Public Rack - Leamington & Elston,casual,6
Public Rack - Lorel Ave & Chicago Ave,casual,6
Public Rack - Maplewood Ave & 47th St,casual,6
Public Rack - Marshfield Ave & 45th St,member,6
Public Rack - Marshfield Ave & 87th St,casual,6
Public Rack - Milwaukee Ave & Culyer Ave,casual,6
Public Rack - Milwaukee Ave & Pensacola Ave,member,6
Public Rack - Minuteman Park,casual,6
Public Rack - Olmstead Ave & Oliphant Ave,member,6
Public Rack - Overhill Ave & Touhy Ave,casual,6
Public Rack - Parkside & Archer,casual,6
Public Rack - Prairie Ave & Garfield Blvd,member,6
Public Rack - Pulaski Rd & 65th St,member,6
Public Rack - Pullman - Planet Fitness,member,6
Public Rack - Rutherford Ave & Belmont Ave,casual,6
Public Rack - Saginaw Ave & 93rd St,casual,6
Public Rack - Sayer & Northwest Hwy,member,6
Public Rack - Stewart Ave & 123rd St,member,6
Public Rack - Vincennes Ave & 95th St,casual,6
Public Rack - Western Ave & 104th St - East,member,6
Public Rack - Western Ave & 118th St,casual,6
Spaulding Ave & North Ave,member,6
Strohacker Park,casual,6
W 103rd St & S Avers Ave,member,6
Western Ave & Jarvis Ave,casual,6
Austin Ave & Wrightwood Ave,casual,7
Calumet Ave & Garfield Blvd,casual,7
Central Ave & Corcoran Pl,casual,7
Commercial Ave & 89th St,member,7
Komensky Ave & 59th St,member,7
Mason Ave & Roosevelt Rd,casual,7
Mayfield & Roosevelt Rd,member,7
Public Rack - Ashland Ave & 71st St,member,7
Public Rack - Avers Ave & Ogden Ave,member,7
Public Rack - California Ave & Marquette Rd,member,7
Public Rack - California Ave & Pershing Rd,casual,7
Public Rack - Chase Ave & Touhy Ave - NW,casual,7
Public Rack - Cicero Ave & Le Moyne St - midblock,member,7
Public Rack - Eberhart Ave & 61st St,member,7
Public Rack - Ewing Ave & 107th St,casual,7
Public Rack - Exchange Ave & 73rd Pl,member,7
Public Rack - Houston Ave & 131st St,member,7
Public Rack - Kedzie Ave & 63rd St,casual,7
Public Rack - Kedzie Ave & 64th St - SW,casual,7
Public Rack - Komensky Ave & 63rd St,casual,7
Public Rack - Kostner Ave & Lake St,casual,7
Public Rack - Laporte Ave & Armitage Ave,member,7
Public Rack - Lawndale Ave & 63rd St,member,7
Public Rack - Lawndale Ave & Polk St,casual,7
Public Rack - Legler Regional Library,casual,7
Public Rack - Legler Regional Library,member,7
Public Rack - Marshfield Ave & 87th St,member,7
Public Rack - McVicker Ave & Grand Ave,casual,7
Public Rack - Michigan Ave & 96th St,casual,7
Public Rack - Milwaukee Ave & Higgins Ave,member,7
Public Rack - Newcastle Ave & Belmont Ave,casual,7
Public Rack - Prairie Ave & Garfield Blvd,casual,7
Public Rack - Pulaski Rd & 51st Rd,casual,7
Public Rack - Western Ave & 111th St - SW,casual,7
Public Rack - Western Ave & 118th St,member,7
Public Rack - Winchester Ave & 87th St,casual,7
Pulaski Rd & 41st,casual,7
Steelworkers Park,member,7
Talman Ave & 51st St - midblock,casual,7
Wentworth Ave & 104th St,member,7
Winchester Ave & 87th St,casual,7
Bradley Park,member,8
Christiana Ave & 55th St,member,8
Cottage Grove Ave & 87th St,member,8
Cottage Grove Ave & 98th St,member,8
Greenwood Ave & Lake Park Ave,casual,8
Halsted St & 76th St,casual,8
Hamilton Ave & 95th St,casual,8
Justine St & 87th St,casual,8
Kedzie Ave & 64th St - SW,casual,8
Kedzie Ave & Archer Ave,member,8
Kedzie Ave & Pershing Rd,casual,8
Keystone Ave & Irving Park Rd,casual,8
Keystone Ave & North Ave,member,8
Kimball Ave & Carmen Ave,casual,8
Lawndale Ave & Diversey Ave,casual,8
Lowell Ave & Elston Ave,member,8
Menard Ave & North Ave,member,8
Milwaukee Ave & Addison St,casual,8
Milwaukee Ave & Haussen Ct,casual,8
Oketo Ave & Belmont Ave,casual,8
Public Rack - 532 E 43rd St,casual,8
Public Rack - 61st St & Melvina Ave,casual,8
Public Rack - 63rd Pl & Narraganssett Ave,casual,8
Public Rack - Avers & Lawrence,casual,8
Public Rack - Baltimore Ave & 133rd St,casual,8
Public Rack - Cottage Grove Ave & 87th St,member,8
Public Rack - Cumberland & Catherine,member,8
Public Rack - Forrestville Ave & 47th St,member,8
Public Rack - Francisco Ave & Touhy Ave,casual,8
Public Rack - Hamlin Ave & Chicago Ave,casual,8
Public Rack - Kedzie Ave & Chicago Ave,casual,8
Public Rack - Kostner Ave & Wrightwood Ave,casual,8
Public Rack - La Moyne Ave and Leamington Ave,casual,8
Public Rack - Laramine Ave & Winnemac Ave,casual,8
Public Rack - Laramine Ave & Winnemac Ave,member,8
Public Rack - Menard Ave & Dakin St - midblock,member,8
Public Rack - Nordica Ave & Addison St,casual,8
Public Rack - Normal Ave & 111th St,casual,8
Public Rack - Paxton Ave & 79th St,casual,8
Public Rack - Pulaski & 52nd,member,8
Public Rack - Pulaski Rd & 5th Ave,casual,8
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,casual,8
Public Rack - Stony Island & 87th St,casual,8
Public Rack - Washington Park Ct & 51st St,member,8
Public Rack - Western Ave & 104th St - West,casual,8
Public Rack - Woodlawn Ave & 63rd St S,casual,8
Pulaski & 52nd,member,8
Pullman - Ross Dress for Less,casual,8
Troy Ave & 27th St,member,8
Trumbull Ave & 111th St,casual,8
Western Ave & Jarvis Ave,member,8
Woodlawn & 103rd,casual,8
Yates Blvd & Exchange Ave,casual,8
Abbott Park,casual,9
Ada St & 113th St,member,9
Emerald Ave & 43rd St,casual,9
Hiawatha Park,casual,9
Homan Ave & 111th St,casual,9
Jonathan Y Scammon Public School,casual,9
Keystone Ave & North Ave,casual,9
Mozart Elementary School,member,9
Public  Rack - Albany Ave & 63rd St,casual,9
Public Rack - 111th St - Morgan Park Metra,casual,9
Public Rack - 56th St & Mulligan Ave,casual,9
Public Rack - Ashland Ave & 76th St,member,9
Public Rack - Austin Ave & Wellington Ave,casual,9
Public Rack - California & 71st,casual,9
Public Rack - Christiana Ave & Bryn Mawr Ave,member,9
Public Rack - Colfax Ave & 83rd St,casual,9
Public Rack - Evans Ave & 63rd St,casual,9
Public Rack - Kedzie Ave & 54th St - SW,casual,9
Public Rack - Kedzie Ave & 62nd Pl,casual,9
Public Rack - Laramie Ave & Grand Ave,member,9
Public Rack - Latrobe Ave & Lake St,casual,9
Public Rack - Linder & Elston,casual,9
Public Rack - Marquette Rd & 67th St,casual,9
Public Rack - S Menard & W 63rd,casual,9
Public Rack - Western Ave & 98th St,casual,9
Public Rack - Wood St & 103rd St,member,9
Public Rack - Wood St & 47th St,casual,9
Spaulding Ave & North Ave,casual,9
Walden Pkwy & 103rd St,member,9
Western Ave & 105th St,casual,9
Whipple St & Roosevelt Rd,member,9
Archer Park,casual,10
Avenue L & 114th St,casual,10
Christiana Ave & 55th St,casual,10
Cottage Grove Ave & 111th St,casual,10
Hoyne Ave & 110th Pl,casual,10
Jeffrey Blvd & 71st St,casual,10
Kedzie Ave & 58th St,member,10
Kedzie Ave & Archer Ave,casual,10
Milwaukee Ave & Haussen Ct,member,10
Public Rack - Ashland Ave & 76th St,casual,10
Public Rack - Austin & 62nd,casual,10
Public Rack - Avers & Lawrence,member,10
